NATIONAL HEALTH EXPENDITURES BY TYPE OF SERVICE AND SOURCE OF FUNDS:  CALENDAR YEARS 1960 to 2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure Amount (Millions),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
                          Federal  , -   , -   , -   , -   , -   , -   , 50 , 99 , 114 , 165 , 224 , 281 , 308 , 336 , 419 , 478 , 576 , 587 , 613 , 701 , 815 , 923 , 952 ," 1,092 "," 1,263 "," 1,319 "," 1,691 "," 1,916 "," 2,183 "," 2,342 "," 2,919 "," 3,445 "," 4,029 "," 4,551 "," 4,974 "," 5,543 "," 6,238 "," 6,998 "," 8,003 "," 9,525 "," 11,301 "," 13,391 "," 15,697 "," 19,239 "," 21,121 "," 20,966 "," 10,953 "," 10,560 "," 11,482 "," 13,594 "," 13,789 "," 12,512 "," 11,776 "," 12,202 "," 17,698 "," 20,266 "," 21,227 "," 21,267 "," 21,339 "
                          State and Local, -   , -   , -   , -   , -   , -   , 53 , 106 , 106 , 135 , 193 , 214 , 255 , 308 , 321 , 392 , 394 , 449 , 493 , 536 , 593 , 688 , 717 , 815 , 956 ," 1,013 "," 1,295 "," 1,480 "," 1,631 "," 1,741 "," 2,158 "," 2,598 "," 2,854 "," 3,169 "," 3,653 "," 4,157 "," 4,586 "," 5,225 "," 6,029 "," 7,121 "," 8,469 "," 9,984 "," 11,822 "," 12,994 "," 14,723 "," 15,564 "," 8,156 "," 7,775 "," 7,744 "," 6,747 "," 6,623 "," 8,440 "," 9,661 "," 9,854 "," 9,632 "," 10,236 "," 10,812 "," 11,624 "," 12,024 "
          CHIP (Title XIX and Title XXI), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 47 , 173 , 301 , 407 , 603 , 953 , 930 ," 1,053 ", 977 , 993 ," 1,162 "," 1,363 "," 1,407 "," 1,441 "," 1,523 "," 1,471 "," 1,390 "," 1,572 "," 1,809 "," 1,991 "," 2,010 "
                          Federal  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 33 , 122 , 213 , 289 , 427 , 676 , 661 , 747 , 689 , 698 , 828 , 976 ," 1,004 "," 1,032 "," 1,073 "," 1,032 ", 996 ," 1,171 "," 1,655 "," 1,806 "," 1,883 "
                          State and Local, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 14 , 51 , 89 , 118 , 176 , 277 , 268 , 306 , 288 , 295 , 334 , 386 , 403 , 409 , 450 , 439 , 394 , 401 , 154 , 184 , 127 
         Department of Defense, -   , -   , -   , -   , -   , -   , -   , -   , 1 , 2 , 3 , 5 , 6 , 5 , 6 , 9 , 10 , 11 , 11 , 11 , 11 , 13 , 20 , 22 , 27 , 34 , 38 , 43 , 57 , 65 , 84 , 98 , 114 , 145 , 179 , 213 , 259 , 312 , 338 , 471 , 667 ," 1,039 "," 1,821 "," 2,717 "," 3,279 "," 3,629 "," 4,427 "," 4,704 "," 4,732 "," 4,944 "," 4,726 "," 4,792 "," 4,858 "," 4,914 "," 5,768 "," 6,281 "," 4,924 "," 4,943 "," 4,983 "
         Department of Veterans Affairs, 4 , 4 , 4 , 4 , 3 , 3 , 3 , 3 , 3 , 3 , 3 , 4 , 5 , 5 , 7 , 9 , 12 , 11 , 12 , 12 , 13 , 13 , 13 , 12 , 11 , 10 , 10 , 10 , 11 , 9 , 10 , 10 , 10 , 12 , 28 , 86 , 223 , 405 , 628 , 866 ," 1,148 "," 1,495 "," 1,827 "," 2,231 "," 2,478 "," 2,704 "," 2,753 "," 2,903 "," 2,762 "," 2,837 "," 2,963 "," 3,161 "," 3,119 "," 2,795 "," 3,024 "," 3,275 "," 3,564 "," 3,911 "," 4,344 "
     Other Third Party Payers and Programs, 67 , 81 , 94 , 107 , 124 , 140 , 104 , 69 , 82 , 83 , 59 , 65 , 73 , 80 , 90 , 104 , 115 , 122 , 128 , 179 , 215 , 245 , 277 , 321 , 382 , 497 , 633 , 715 , 842 ," 1,017 "," 1,206 "," 1,233 "," 1,256 "," 1,235 "," 1,304 "," 1,364 "," 1,412 "," 1,519 "," 1,725 "," 1,933 "," 2,289 "," 2,729 "," 3,111 "," 3,579 "," 3,743 "," 3,972 "," 4,039 "," 3,777 "," 3,640 "," 3,534 "," 3,332 "," 2,801 "," 2,519 "," 2,367 "," 1,980 "," 1,915 "," 1,803 "," 1,765 "," 1,750 "
         Worksite Health Care, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Other Private Revenues, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Indian Health Services , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 2 , 2 , 2 , 2 , 2 , 2 , 3 , 3 , 4 , 4 , 4 , 4 , 4 , 5 , 6 , 8 , 8 , 8 , 9 , 9 , 9 , 10 , 10 , 12 , 13 , 14 , 15 , 16 , 16 , 17 , 18 , 19 , 22 , 26 , 26 , 27 , 27 , 29 , 29 , 29 , 28 , 29 
         Workers' Compensation, 9 , 9 , 10 , 11 , 11 , 12 , 14 , 15 , 17 , 19 , 21 , 23 , 25 , 30 , 33 , 36 , 40 , 42 , 45 , 51 , 55 , 59 , 67 , 78 , 91 , 106 , 125 , 144 , 172 , 208 , 245 , 271 , 287 , 290 , 276 , 290 , 317 , 357 , 413 , 501 , 567 , 662 , 708 , 756 , 778 , 790 , 737 , 758 , 808 , 797 , 793 , 805 , 753 , 767 , 832 , 840 , 790 , 723 , 700 
         General Assistance, 4 , 4 , 3 , 4 , 4 , 4 , 8 , 15 , 27 , 27 , 29 , 31 , 35 , 39 , 43 , 53 , 60 , 63 , 65 , 109 , 141 , 167 , 191 , 221 , 270 , 366 , 481 , 542 , 640 , 779 , 929 , 924 , 927 , 904 , 985 ," 1,027 "," 1,045 "," 1,107 "," 1,253 "," 1,365 "," 1,646 "," 1,983 "," 2,311 "," 2,726 "," 2,866 "," 3,082 "," 3,200 "," 2,910 "," 2,718 "," 2,624 "," 2,424 "," 1,759 "," 1,349 "," 1,192 ", 995 , 961 , 905 , 931 , 937 
         Maternal/Child Health, 1 , 1 , 2 , 2 , 3 , 3 , 5 , 6 , 8 , 9 , 8 , 9 , 10 , 9 , 11 , 12 , 13 , 14 , 15 , 16 , 16 , 16 , 16 , 18 , 17 , 20 , 21 , 23 , 24 , 26 , 27 , 30 , 32 , 33 , 34 , 36 , 39 , 44 , 47 , 55 , 62 , 68 , 73 , 77 , 79 , 78 , 79 , 85 , 89 , 84 , 80 , 76 , 69 , 70 , 79 , 78 , 73 , 76 , 77 
                          Federal  , 1 , 1 , 1 , 1 , 2 , 2 , 3 , 5 , 6 , 7 , 5 , 7 , 8 , 7 , 8 , 9 , 10 , 11 , 11 , 12 , 12 , 11 , 11 , 13 , 11 , 13 , 13 , 14 , 14 , 15 , 16 , 17 , 18 , 18 , 19 , 19 , 20 , 22 , 23 , 27 , 29 , 31 , 34 , 35 , 35 , 35 , 35 , 35 , 34 , 33 , 32 , 31 , 29 , 28 , 31 , 31 , 29 , 29 , 30 
                          State and Local, -   , -   , 1 , 1 , 1 , 1 , 1 , 1 , 2 , 2 , 3 , 3 , 2 , 2 , 3 , 3 , 3 , 3 , 3 , 4 , 4 , 5 , 5 , 5 , 6 , 7 , 9 , 9 , 10 , 10 , 11 , 13 , 14 , 15 , 16 , 17 , 19 , 22 , 24 , 29 , 33 , 36 , 39 , 42 , 43 , 43 , 44 , 50 , 56 , 51 , 48 , 45 , 40 , 42 , 48 , 47 , 43 , 46 , 47 
         Vocational Rehabilitation, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
                          Federal  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
                          State and Local, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Other Federal Programs*, 28 , 36 , 44 , 53 , 53 , 53 , 38 , 20 , 17 , 15 , 1 , 1 , 1 , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 4 , 130 , 316 , 306 , 39 , -   , -   , -   , -   
         SAMHSA, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Other State and Local Programs**, 26 , 30 , 34 , 38 , 53 , 68 , 38 , 13 , 13 , 15 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 2 , 2 , 1 , 1 , 2 , 2 , 2 , 2 , 2 , 2 , 3 , 4 , 5 , 5 , 5 , 5 , 6 , 6 , 6 , 6 , 6 , 6 , 6 , 6 , 7 , 7 , 7 , 7 
         School Health, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"Total CMS Programs (Medicaid, CHIP and Medicare)", -   , -   , -   , -   , -   , -   , 103 , 205 , 219 , 300 , 417 , 495 , 563 , 644 , 739 , 871 , 969 ," 1,036 "," 1,107 "," 1,236 "," 1,408 "," 1,611 "," 1,669 "," 1,908 "," 2,222 "," 2,352 "," 3,030 "," 3,471 "," 3,916 "," 4,222 "," 5,262 "," 6,275 "," 7,176 "," 8,093 "," 9,124 "," 10,421 "," 11,836 "," 13,482 "," 15,639 "," 18,739 "," 22,168 "," 26,230 "," 30,596 "," 35,657 "," 40,145 "," 41,514 "," 59,724 "," 65,282 "," 71,032 "," 76,246 "," 80,762 "," 85,679 "," 90,484 "," 97,571 "," 113,483 "," 124,492 "," 130,446 "," 136,144 "," 142,622 "
Total Durable Medical Equipment Expenditures, 740 , 765 , 910 , 901 ," 1,004 "," 1,105 "," 1,242 "," 1,128 "," 1,317 "," 1,512 "," 1,747 "," 1,799 "," 2,032 "," 2,247 "," 2,506 "," 2,801 "," 2,987 "," 3,205 "," 3,447 "," 3,781 "," 4,054 "," 4,330 "," 4,570 "," 5,250 "," 6,142 "," 7,056 "," 8,067 "," 9,466 "," 11,078 "," 11,887 "," 13,767 "," 13,081 "," 13,498 "," 14,140 "," 15,318 "," 15,860 "," 17,432 "," 19,218 "," 21,358 "," 23,022 "," 25,165 "," 25,135 "," 27,131 "," 28,512 "," 30,370 "," 32,364 "," 34,409 "," 37,073 "," 37,678 "," 37,813 "," 39,925 "," 42,259 "," 43,679 "," 45,062 "," 46,678 "," 48,573 "," 50,952 "," 52,407 "," 54,864 "
     Out of pocket, 686 , 707 , 843 , 833 , 928 ," 1,021 "," 1,130 ", 990 ," 1,149 "," 1,299 "," 1,503 "," 1,532 "," 1,721 "," 1,889 "," 2,062 "," 2,259 "," 2,390 "," 2,507 "," 2,629 "," 2,794 "," 2,964 "," 3,087 "," 3,159 "," 3,576 "," 4,236 "," 4,901 "," 5,626 "," 6,654 "," 7,834 "," 8,184 "," 9,494 "," 8,579 "," 8,543 "," 8,669 "," 9,266 "," 9,081 "," 10,029 "," 11,110 "," 12,948 "," 13,980 "," 15,094 "," 14,066 "," 14,638 "," 14,934 "," 15,935 "," 16,815 "," 17,487 "," 18,938 "," 18,198 "," 18,054 "," 19,516 "," 21,277 "," 21,977 "," 22,976 "," 22,878 "," 22,921 "," 24,252 "," 24,460 "," 25,492 "
     Health Insurance, 40 , 40 , 49 , 50 , 55 , 62 , 85 , 108 , 130 , 169 , 197 , 213 , 254 , 297 , 374 , 464 , 516 , 612 , 724 , 885 , 984 ," 1,137 "," 1,300 "," 1,547 "," 1,758 "," 1,980 "," 2,236 "," 2,573 "," 2,966 "," 3,383 "," 3,906 "," 4,143 "," 4,590 "," 5,108 "," 5,688 "," 6,426 "," 7,036 "," 7,712 "," 7,975 "," 8,565 "," 9,562 "," 10,554 "," 11,966 "," 13,053 "," 13,897 "," 15,017 "," 16,403 "," 17,578 "," 18,674 "," 18,957 "," 19,579 "," 20,121 "," 20,861 "," 21,216 "," 22,910 "," 24,765 "," 25,799 "," 27,005 "," 28,417 "
          Private Health Insurance, 40 , 40 , 49 , 50 , 55 , 62 , 75 , 82 , 91 , 113 , 133 , 151 , 186 , 210 , 252 , 306 , 334 , 397 , 459 , 553 , 568 , 572 , 566 , 619 , 708 , 790 , 873 ," 1,002 "," 1,226 "," 1,343 "," 1,523 "," 1,391 "," 1,357 "," 1,449 "," 1,644 "," 1,731 "," 1,970 "," 2,261 "," 2,766 "," 3,168 "," 3,620 "," 3,564 "," 3,911 "," 4,201 "," 4,713 "," 5,221 "," 5,694 "," 6,460 "," 6,495 "," 6,814 "," 7,068 "," 7,389 "," 7,311 "," 7,568 "," 8,452 "," 9,356 "," 10,340 "," 10,830 "," 11,287 "
          Medicare, -   , -   , -   , -   , -   , -   , 6 , 16 , 21 , 25 , 28 , 35 , 42 , 51 , 71 , 94 , 115 , 148 , 198 , 247 , 326 , 447 , 573 , 748 , 865 , 973 ," 1,106 "," 1,268 "," 1,380 "," 1,556 "," 1,801 "," 2,031 "," 2,344 "," 2,597 "," 2,769 "," 3,169 "," 3,411 "," 3,836 "," 3,644 "," 3,750 "," 4,065 "," 4,479 "," 5,273 "," 6,021 "," 6,231 "," 6,435 "," 6,886 "," 7,017 "," 7,892 "," 7,488 "," 7,508 "," 7,531 "," 8,085 "," 7,798 "," 7,773 "," 7,949 "," 7,633 "," 8,108 "," 8,859 "
          Medicaid (Title XIX), -   , -   , -   , -   , -   , -   , 5 , 9 , 18 , 32 , 35 , 27 , 26 , 36 , 51 , 65 , 68 , 66 , 67 , 86 , 90 , 118 , 160 , 181 , 185 , 217 , 256 , 303 , 360 , 484 , 583 , 721 , 889 ," 1,062 "," 1,276 "," 1,526 "," 1,655 "," 1,615 "," 1,560 "," 1,616 "," 1,835 "," 2,467 "," 2,709 "," 2,767 "," 2,896 "," 3,295 "," 3,761 "," 4,015 "," 4,202 "," 4,579 "," 4,916 "," 5,097 "," 5,345 "," 5,717 "," 6,561 "," 7,324 "," 7,653 "," 7,881 "," 8,082 "
                          Federal  , -   , -   , -   , -   , -   , -   , 3 , 6 , 11 , 18 , 20 , 15 , 15 , 21 , 28 , 36 , 35 , 36 , 37 , 47 , 51 , 67 , 90 , 102 , 104 , 123 , 146 , 173 , 202 , 277 , 333 , 428 , 534 , 635 , 762 , 898 , 978 , 949 , 910 , 956 ," 1,080 "," 1,454 "," 1,596 "," 1,734 "," 1,763 "," 1,947 "," 2,194 "," 2,353 "," 2,537 "," 3,111 "," 3,462 "," 3,247 "," 3,221 "," 3,452 "," 4,238 "," 4,860 "," 5,115 "," 5,196 "," 5,341 "
                          State and Local, -   , -   , -   , -   , -   , -   , 2 , 3 , 7 , 14 , 14 , 12 , 11 , 15 , 22 , 28 , 33 , 30 , 29 , 39 , 40 , 52 , 71 , 79 , 81 , 95 , 110 , 130 , 158 , 207 , 250 , 294 , 355 , 427 , 514 , 629 , 677 , 666 , 650 , 660 , 754 ," 1,013 "," 1,113 "," 1,034 "," 1,133 "," 1,348 "," 1,566 "," 1,662 "," 1,665 "," 1,468 "," 1,454 "," 1,850 "," 2,124 "," 2,265 "," 2,322 "," 2,464 "," 2,538 "," 2,685 "," 2,741 "
          CHIP (Title XIX and Title XXI), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 4 , 30 , 43 , 44 , 73 , 64 , 58 , 65 , 62 , 86 , 85 , 76 , 88 , 104 , 119 , 133 , 124 , 135 , 172 , 185 , 188 
                          Federal  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 3 , 21 , 29 , 32 , 51 , 46 , 42 , 48 , 45 , 62 , 63 , 56 , 64 , 76 , 87 , 96 , 90 , 105 , 158 , 170 , 175 
                          State and Local, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 10 , 13 , 12 , 21 , 18 , 15 , 18 , 17 , 24 , 22 , 20 , 24 , 28 , 33 , 37 , 34 , 30 , 15 , 15 , 13 
         Department of Defense, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Department of Veterans Affairs, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
     Other Third Party Payers and Programs, 15 , 17 , 18 , 19 , 20 , 22 , 27 , 31 , 37 , 44 , 48 , 54 , 57 , 61 , 71 , 77 , 80 , 86 , 93 , 102 , 105 , 106 , 111 , 127 , 148 , 175 , 205 , 239 , 279 , 320 , 367 , 360 , 365 , 363 , 364 , 354 , 368 , 396 , 435 , 476 , 509 , 515 , 527 , 526 , 538 , 532 , 519 , 557 , 806 , 802 , 829 , 861 , 840 , 871 , 890 , 887 , 902 , 943 , 956 
         Worksite Health Care, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Other Private Revenues, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
         Indian Health Services , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 1 , 1 , 1 , 1 , 2 , 2 , 2 , 2 , 3 , 3 , 3 , 3 , 3 , 4 , 4 , 5 , 5 , 5 , 5 , 5 , 5 , 5 , 5 , 5 , 5 , 5 , 5 , 5 , 6 , 6 , 6 , 6 , 7 , 9 , 9 , 10 , 9 , 9 , 9 , 9 , 10 , 10 
         Workers' Compensation, 9 , 9 , 10 , 11 , 11 , 12 , 14 , 15 , 17 , 19 , 21 , 23 , 25 , 30 , 34 , 39 , 42 , 45 , 48 , 55 , 56 , 58 , 62 , 72 , 87 , 105 , 127 , 155 , 189 , 216 , 254 , 243 , 251 , 252 , 242 , 234 , 247 , 269 , 303 , 335 , 359 , 365 , 368 , 363 , 365 , 360 , 342 , 362 , 610 , 597 , 617 , 649 , 622 , 652 , 698 , 702 , 717 , 752 , 758 
         General Assistance, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 2 , 3 , 6 , 8 , 5 , 5 , 17 , 21 , 22 , 13 , 10 , 12 , 9 , 8 , 6 , 6 , 12 , 14 , 13 , 18 , 21 , 32 , 31 , 31 , 40 , 36 , 42 , 41 , 30 , 24 , 24 , 23 , 21 , 20 , 20 , 22 
         Maternal/Child Health, 2 , 3 , 3 , 4 , 4 , 4 , 5 , 7 , 10 , 12 , 11 , 12 , 14 , 13 , 15 , 16 , 17 , 18 , 20 , 21 , 22 , 22 , 21 , 23 , 24 , 29 , 32 , 37 , 40 , 40 , 42 , 41 , 43 , 44 , 47 , 46 , 49 , 53 , 56 , 60 , 64 , 61 , 63 , 62 , 60 , 59 , 57 , 64 , 68 , 66 , 66 , 64 , 60 , 62 , 64 , 62 , 61 , 66 , 68 
                          Federal  , 1 , 1 , 1 , 1 , 1 , 2 , 3 , 4 , 6 , 7 , 6 , 7 , 9 , 8 , 9 , 10 , 11 , 12 , 12 , 13 , 13 , 12 , 11 , 12 , 11 , 14 , 14 , 16 , 17 , 17 , 18 , 16 , 17 , 17 , 17 , 16 , 17 , 17 , 18 , 19 , 20 , 18 , 19 , 18 , 17 , 17 , 16 , 16 , 16 , 16 , 16 , 16 , 16 , 15 , 15 , 15 , 15 , 16 , 16 
                          State and Local, 2 , 2 , 2 , 2 , 2 , 2 , 3 , 3 , 4 , 5 , 5 , 5 , 5 , 5 , 6 , 6 , 6 , 7 , 7 , 9 , 10 , 10 , 10 , 11 , 13 , 15 , 18 , 21 , 23 , 23 , 25 , 25 , 26 , 27 , 29 , 29 , 32 , 36 , 38 , 41 , 44 , 43 , 44 , 44 , 43 , 42 , 41 , 48 , 52 , 50 , 50 , 48 , 44 , 46 , 49 , 47 , 46 , 50 , 52 
         Vocational Rehabilitation, 4 , 4 , 4 , 4 , 4 , 5 , 6 , 8 , 9 , 12 , 15 , 17 , 17 , 17 , 20 , 21 , 19 , 21 , 23 , 24 , 24 , 24 , 25 , 28 , 30 , 32 , 34 , 38 , 40 , 42 , 45 , 48 , 51 , 51 , 57 , 59 , 58 , 61 , 62 , 63 , 65 , 70 , 71 , 72 , 73 , 75 , 80 , 83 , 83 , 87 , 94 , 93 , 89 , 88 , 88 , 90 , 91 , 92 , 93 
                          Federal  , 2 , 2 , 2 , 3 , 3 , 3 , 5 , 6 , 7 , 9 , 12 , 13 , 13 , 13 , 15 , 16 , 15 , 16 , 17 , 18 , 19 , 18 , 18 , 21 , 23 , 24 , 26 , 29 , 31 , 32 , 34 , 37 , 39 , 38 , 43 , 44 , 43 , 46 , 47 , 48 , 49 , 53 , 54 , 56 , 57 , 58 , 60 , 62 , 63 , 67 , 73 , 73 , 69 , 68 , 68 , 69 , 70 , 71 , 72 
                          State and Local, 1 , 1 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 3 , 3 , 4 , 4 , 4 , 4 , 5 , 5 , 5 , 5 , 6 , 6 , 6 , 7 , 7 , 7 , 8 , 8 , 9 , 9 , 10 , 10 , 11 , 12 , 13 , 14 , 15 , 15 , 15 , 15 , 15 , 16 , 17 , 17 , 17 , 17 , 17 , 20 , 21 , 19 , 20 , 20 , 20 , 20 , 20 , 20 , 21 , 21 , 21 , 21 
         Other Federal Programs*, -   , -   , -   , -   , -   , -   , -   , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 14 , 34 , 33 , 4 , -   , -   , -   , -   
